[2024-07-09 19:55:06:230682] | Error    | Manager.cpp         -L3645: have no buffer, so drop the early node
[2024-07-09 19:55:06:484314] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[0] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)NGLCZMRYGRNO] codeLen[57] angle[-95] ppm[34] algocost[568] sharpness[0] idRsocre[90] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484329] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[1] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)LD0TR2WNO2FM] codeLen[57] angle[-89] ppm[36] algocost[568] sharpness[0] idRsocre[91] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484337] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[2] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)J7AXR38D5PAX] codeLen[57] angle[-87] ppm[36] algocost[568] sharpness[0] idRsocre[87] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484344] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[3] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)MUNYFWYGPI1D] codeLen[57] angle[-90] ppm[36] algocost[568] sharpness[0] idRsocre[86] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484350] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[4] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)CA4KU2SSWT29] codeLen[57] angle[-91] ppm[36] algocost[568] sharpness[0] idRsocre[95] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484357] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[5] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)IMQYVDVHM4DN] codeLen[57] angle[-89] ppm[37] algocost[568] sharpness[0] idRsocre[91] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484364] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[6] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)QRRLYBXCYE55] codeLen[57] angle[-90] ppm[36] algocost[568] sharpness[0] idRsocre[90] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484371] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[7] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)BOZK66HFCNIR] codeLen[57] angle[-89] ppm[36] algocost[568] sharpness[0] idRsocre[94] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484379] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[8] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)M36EJL7HWR51] codeLen[57] angle[-88] ppm[36] algocost[568] sharpness[0] idRsocre[94] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484386] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[9] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)6LDJD8TUMEY2] codeLen[57] angle[-86] ppm[36] algocost[568] sharpness[0] idRsocre[89] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484393] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[10] barcode[(90)123456790567898765678987656789(60)123ABCDEFG123] codeLen[51] angle[-89] ppm[36] algocost[568] sharpness[0] idRsocre[84] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484400] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[11] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)BNX1Z3XYQ37C] codeLen[57] angle[-88] ppm[36] algocost[568] sharpness[0] idRsocre[85] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484408] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[12] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)2PY0OCG75ETU] codeLen[57] angle[-87] ppm[36] algocost[568] sharpness[0] idRsocre[87] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484415] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[13] barcode[(90)GKL9402319210A6(10)TPB08851(17)260131(21)U2D84YSUD2HD] codeLen[57] angle[-84] ppm[34] algocost[568] sharpness[0] idRsocre[92] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484422] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[14] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)OBYJWPETGCH6] codeLen[57] angle[-95] ppm[33] algocost[568] sharpness[0] idRsocre[88] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484430] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[15] barcode[(90)GKL9402319210A6(10)TEST0002(17)260131(21)E9VD4NRTBB14] codeLen[57] angle[-85] ppm[36] algocost[568] sharpness[0] idRsocre[84] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484437] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[16] barcode[(90)GKL9402319210A6(10)TEST0002(17)260131(21)77NZLVMO8U9R] codeLen[57] angle[-88] ppm[36] algocost[568] sharpness[0] idRsocre[90] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484444] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[17] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)IQOJCGJMT5TC] codeLen[57] angle[-93] ppm[33] algocost[568] sharpness[0] idRsocre[94] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484451] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501962] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077755] result: barcodenum[19] index[18] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)GDX7NCLW4BDJ] codeLen[57] angle[-92] ppm[31] algocost[568] sharpness[0] idRsocre[94] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:484463] | Error    | Manager.cpp         -L3645: have no buffer, so drop the early node
[2024-07-09 19:55:06:944191] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501963] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077052] result: barcodenum[19] index[0] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)NGLCZMRYGRNO] codeLen[57] angle[-94] ppm[34] algocost[587] sharpness[0] idRsocre[89] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:944207] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501963] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077052] result: barcodenum[19] index[1] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)LD0TR2WNO2FM] codeLen[57] angle[-89] ppm[36] algocost[587] sharpness[0] idRsocre[91] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:06:944215] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501963] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077052] result: barcodenum[19] index[2] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)MUNYFWYGPI1D] codeLen[57] angle[-91] ppm[36] algocost[587] sharpness[0] idRsocre[86] eventID[50006] nAllQualityValid[0] barType[1]
